Report Date,ZIP Code,Number of Cases,Number of PCR Testing Encounters
5/18/2020,24128,Suppressed*,16
5/18/2020,24131,0,1
5/18/2020,24132,0,4
5/18/2020,24133,0,33
5/18/2020,24134,0,36
5/18/2020,24136,0,15
5/18/2020,24137,Suppressed*,13
5/18/2020,24138,0,20
5/18/2020,24139,0,7
5/18/2020,24141,Suppressed*,151
5/18/2020,24142,0,1
5/18/2020,24147,Suppressed*,10
5/18/2020,24148,5,69
5/18/2020,24149,0,27
5/18/2020,24150,Suppressed*,4
5/18/2020,24151,13,51
5/18/2020,24153,55,489
5/18/2020,24161,0,6
5/18/2020,24162,6,41
5/18/2020,24165,Suppressed*,26
5/18/2020,24167,0,3
5/18/2020,24168,Suppressed*,16
5/18/2020,24171,6,71
5/18/2020,24174,Suppressed*,24
5/18/2020,24175,Suppressed*,36
5/18/2020,24176,Suppressed*,14
5/18/2020,24179,14,89
5/18/2020,24184,6,13
5/18/2020,24185,0,4
5/18/2020,24201,Suppressed*,254
5/18/2020,24202,7,154
5/18/2020,24210,19,279
5/18/2020,24211,9,146
5/18/2020,24216,10,63
5/18/2020,24217,0,1
5/18/2020,24219,9,387
5/18/2020,24220,0,8
5/18/2020,24221,0,4
5/18/2020,24224,5,70
5/18/2020,24225,0,10
5/18/2020,24226,0,14
5/18/2020,24228,0,88
5/18/2020,24230,0,90
5/18/2020,24236,5,42
5/18/2020,24237,0,7
5/18/2020,24239,0,4
5/18/2020,24243,0,43
5/18/2020,24244,Suppressed*,104
5/18/2020,24245,0,16
5/18/2020,24246,0,6
5/18/2020,24248,Suppressed*,38
5/18/2020,24250,0,13
5/18/2020,24251,Suppressed*,147
5/18/2020,24256,0,38
5/18/2020,24258,0,19
5/18/2020,24260,0,61
5/18/2020,24263,Suppressed*,102
5/18/2020,24265,0,10
5/18/2020,24266,Suppressed*,115
5/18/2020,24269,0,4
5/18/2020,24270,Suppressed*,6
5/18/2020,24271,0,35
5/18/2020,24272,0,7
5/18/2020,24273,Suppressed*,72
5/18/2020,24277,Suppressed*,96
5/18/2020,24279,0,32
5/18/2020,24280,0,6
5/18/2020,24281,0,29
5/18/2020,24282,0,14
5/18/2020,24283,0,35
5/18/2020,24290,0,30
5/18/2020,24292,0,12
5/18/2020,24293,Suppressed*,124
5/18/2020,24301,Suppressed*,271
5/18/2020,24311,0,27
5/18/2020,24312,0,23
5/18/2020,24313,Suppressed*,7
5/18/2020,24314,0,26
5/18/2020,24315,0,32
5/18/2020,24316,0,2
5/18/2020,24317,Suppressed*,35
5/18/2020,24318,0,8
5/18/2020,24319,5,87
5/18/2020,24322,0,3
5/18/2020,24323,Suppressed*,10
5/18/2020,24324,0,38
5/18/2020,24325,0,5
5/18/2020,24326,0,6
5/18/2020,24328,0,17
5/18/2020,24330,10,54
5/18/2020,24333,120,444
5/18/2020,24340,Suppressed*,81
5/18/2020,24343,11,132
5/18/2020,24347,Suppressed*,21
5/18/2020,24348,0,73
5/18/2020,24350,0,12
5/18/2020,24351,0,3
5/18/2020,24352,Suppressed*,12
5/18/2020,24354,6,216
5/18/2020,24360,5,94
5/18/2020,24361,Suppressed*,72
5/18/2020,24363,0,5
5/18/2020,24366,Suppressed*,15
5/18/2020,24368,Suppressed*,63
5/18/2020,24370,Suppressed*,76
5/18/2020,24374,0,15
5/18/2020,24375,0,9
5/18/2020,24377,0,2
5/18/2020,24378,Suppressed*,10
5/18/2020,24380,Suppressed*,10
5/18/2020,24381,Suppressed*,37
5/18/2020,24382,6,205
5/18/2020,24401,42,394
5/18/2020,24412,0,1
5/18/2020,24413,0,4
5/18/2020,24415,0,2
5/18/2020,24416,10,25
5/18/2020,24421,Suppressed*,17
5/18/2020,24422,6,102
5/18/2020,24426,5,183
5/18/2020,24430,Suppressed*,26
5/18/2020,24431,5,37
5/18/2020,24432,Suppressed*,1
5/18/2020,24433,0,1
5/18/2020,24435,Suppressed*,7
5/18/2020,24437,0,7
5/18/2020,24439,0,8
5/18/2020,24440,8,34
5/18/2020,24441,15,99
5/18/2020,24442,0,1
5/18/2020,24445,0,27
5/18/2020,24448,0,4
5/18/2020,24450,8,52
5/18/2020,24457,0,13
5/18/2020,24458,0,4
5/18/2020,24459,6,2
5/18/2020,24460,0,14
5/18/2020,24465,Suppressed*,13
5/18/2020,24467,Suppressed*,16
5/18/2020,24471,Suppressed*,26
5/18/2020,24472,0,14
5/18/2020,24473,0,3
5/18/2020,24474,0,5
5/18/2020,24476,Suppressed*,5
5/18/2020,24477,13,135
5/18/2020,24479,0,18
5/18/2020,24482,5,48
5/18/2020,24483,Suppressed*,4
5/18/2020,24484,0,5
5/18/2020,24485,0,2
5/18/2020,24486,15,57
5/18/2020,24487,0,3
5/18/2020,24501,24,448
5/18/2020,24502,33,618
5/18/2020,24503,12,294
5/18/2020,24504,7,145
5/18/2020,24517,0,96
5/18/2020,24520,Suppressed*,30
5/18/2020,24521,7,199
5/18/2020,24522,15,190
5/18/2020,24523,8,305
5/18/2020,24526,Suppressed*,26
5/18/2020,24527,Suppressed*,44
5/18/2020,24528,Suppressed*,59
5/18/2020,24529,Suppressed*,45
5/18/2020,24530,0,16
5/18/2020,24531,Suppressed*,91
5/18/2020,24534,Suppressed*,28
5/18/2020,24536,0,3
5/18/2020,24538,Suppressed*,80
5/18/2020,24539,0,6
5/18/2020,24540,23,405
5/18/2020,24541,24,385
5/18/2020,24549,Suppressed*,45
5/18/2020,24550,5,105
5/18/2020,24551,19,382
5/18/2020,24553,Suppressed*,39
5/18/2020,24554,Suppressed*,63
5/18/2020,24555,Suppressed*,8
5/18/2020,24556,0,55
5/18/2020,24557,Suppressed*,91
5/18/2020,24558,5,109
5/18/2020,24562,0,12
5/18/2020,24563,Suppressed*,85
5/18/2020,24565,0,8
5/18/2020,24566,Suppressed*,16
5/18/2020,24569,0,15
5/18/2020,24571,Suppressed*,26
5/18/2020,24572,12,297
5/18/2020,24574,Suppressed*,50
5/18/2020,24577,Suppressed*,62
5/18/2020,24578,Suppressed*,3
5/18/2020,24579,0,3
5/18/2020,24580,Suppressed*,15
5/18/2020,24586,Suppressed*,65
5/18/2020,24588,Suppressed*,151
5/18/2020,24589,0,30
5/18/2020,24590,11,194
5/18/2020,24592,11,262
5/18/2020,24593,Suppressed*,27
5/18/2020,24594,Suppressed*,31
5/18/2020,24595,0,4
5/18/2020,24597,Suppressed*,18
5/18/2020,24598,Suppressed*,30
5/18/2020,24599,Suppressed*,17
5/18/2020,24602,0,10
5/18/2020,24603,Suppressed*,9
5/18/2020,24605,Suppressed*,132
5/18/2020,24606,0,3
5/18/2020,24607,0,1
5/18/2020,24609,Suppressed*,85
5/18/2020,24612,0,3
5/18/2020,24613,0,19
5/18/2020,24614,15,131
5/18/2020,24620,0,16
5/18/2020,24622,0,17
5/18/2020,24628,0,5
5/18/2020,24630,0,67
5/18/2020,24631,0,22
5/18/2020,24634,0,7
5/18/2020,24635,0,11
5/18/2020,24637,0,27
5/18/2020,24639,Suppressed*,53
5/18/2020,24641,0,97
5/18/2020,24646,0,6
5/18/2020,24649,0,22
5/18/2020,24651,0,68
5/18/2020,24656,0,38
5/18/2020,24657,0,2
5/18/2020,Not Reported,631,27672
5/18/2020,Out-of-State,0,3021
