Date,Health_District,Age_Group,Cases,Hospitalized,Deaths,State
2020-07-12,Chesterfield,40-49,608,20,3,Virginia
2020-07-12,Alexandria,Missing,11,0,0,Virginia
2020-07-12,Southside,30-39,72,4,0,Virginia
2020-07-12,Prince William,Missing,147,2,0,Virginia
2020-07-12,Hampton,60-69,59,11,2,Virginia
2020-07-12,Fairfax,20-29,2319,78,3,Virginia
2020-07-12,Thomas Jefferson,0-9,57,1,0,Virginia
2020-07-12,Lenowisco,40-49,9,2,0,Virginia
2020-07-12,Central Virginia,10-19,68,1,0,Virginia
2020-07-12,Lenowisco,70-79,9,4,1,Virginia
2020-07-12,Arlington,50-59,390,66,6,Virginia
2020-07-12,Piedmont,70-79,73,24,4,Virginia
2020-07-12,Alexandria,60-69,208,47,2,Virginia
2020-07-12,Portsmouth,30-39,155,7,1,Virginia
2020-07-12,Lenowisco,20-29,13,0,0,Virginia
2020-07-12,Central Virginia,30-39,76,1,0,Virginia
2020-07-12,Norfolk,10-19,80,1,0,Virginia
2020-07-12,New River,10-19,37,0,0,Virginia
2020-07-12,Central Virginia,20-29,113,2,0,Virginia
2020-07-12,Rappahannock,50-59,412,51,4,Virginia
2020-07-12,Rappahannock,60-69,223,47,6,Virginia
2020-07-12,Piedmont,20-29,177,2,0,Virginia
2020-07-12,New River,60-69,28,5,0,Virginia
2020-07-12,Roanoke,40-49,83,1,0,Virginia
2020-07-12,Three Rivers,20-29,141,4,0,Virginia
2020-07-12,Rappahannock,40-49,477,44,2,Virginia
2020-07-12,Portsmouth,80+,18,8,5,Virginia
2020-07-12,Central Shenandoah,Missing,1,0,0,Virginia
2020-07-12,Eastern Shore,70-79,47,16,9,Virginia
2020-07-12,Mount Rogers,70-79,71,28,12,Virginia
2020-07-12,Cumberland Plateau,70-79,7,1,0,Virginia
2020-07-12,Piedmont,10-19,37,0,0,Virginia
2020-07-12,Southside,20-29,55,2,0,Virginia
2020-07-12,Chesterfield,50-59,474,38,4,Virginia
2020-07-12,Rappahannock Rapidan,20-29,295,4,0,Virginia
2020-07-12,Cumberland Plateau,60-69,10,1,0,Virginia
2020-07-12,Roanoke,70-79,17,3,1,Virginia
2020-07-12,Central Shenandoah,20-29,443,8,0,Virginia
2020-07-12,Pittsylvania-Danville,80+,10,5,2,Virginia
2020-07-12,Virginia Beach,80+,107,33,22,Virginia
2020-07-12,Central Shenandoah,50-59,399,33,3,Virginia
2020-07-12,Lenowisco,Missing,0,0,0,Virginia
2020-07-12,Fairfax,30-39,2823,182,6,Virginia
2020-07-12,Lenowisco,60-69,7,5,2,Virginia
2020-07-12,Loudoun,30-39,764,27,0,Virginia
2020-07-12,West Piedmont,80+,18,9,1,Virginia
2020-07-12,Roanoke,80+,43,3,9,Virginia
2020-07-12,Fairfax,40-49,2741,258,9,Virginia
2020-07-12,Thomas Jefferson,80+,104,27,19,Virginia
2020-07-12,Roanoke,20-29,135,3,0,Virginia
2020-07-12,Henrico,60-69,303,51,34,Virginia
2020-07-12,Lord Fairfax,40-49,347,17,1,Virginia
2020-07-12,Western Tidewater,Missing,9,0,0,Virginia
2020-07-12,Chickahominy,60-69,79,21,6,Virginia
2020-07-12,Chesapeake,20-29,254,4,0,Virginia
2020-07-12,Three Rivers,Missing,4,0,0,Virginia
2020-07-12,Henrico,10-19,197,3,0,Virginia
2020-07-12,Mount Rogers,30-39,120,4,0,Virginia
2020-07-12,Eastern Shore,30-39,234,8,0,Virginia
2020-07-12,Virginia Beach,0-9,49,0,0,Virginia
