State,County,Cases,Deaths,Tests,Date
NA,Calvert,162,11,NA,2020-05-02
NA,Frederick,1004,61,NA,2020-05-02
NA,Montgomery,5150,295,NA,2020-05-02
NA,Prince Georges,7333,277,NA,2020-05-02
Virginia,NA,18671,660,119065,2020-05-02
NA,Arlington,1106,46,NA,2020-05-02
NA,Culpeper,191,3,NA,2020-05-02
NA,Fairfax,4340,184,NA,2020-05-02
NA,Loudoun,931,16,NA,2020-05-02
NA,Prince William,2026,30,NA,2020-05-02
District of Columbia,NA,4797,240,22004,2020-05-01
Maryland,NA,24473,1251,125522,2020-05-01
NA,Calvert,160,11,NA,2020-05-01
NA,Frederick,976,59,NA,2020-05-01
NA,Montgomery,4919,282,NA,2020-05-01
NA,Prince Georges,7041,269,NA,2020-05-01
Virginia,NA,17731,616,112450,2020-05-01
NA,Arlington,1044,46,NA,2020-05-01
NA,Culpeper,177,3,NA,2020-05-01
NA,Fairfax,4046,153,NA,2020-05-01
NA,Loudoun,881,16,NA,2020-05-01
NA,Prince William,1900,29,NA,2020-05-01
District of Columbia,NA,4658,231,21135,2020-04-30
Maryland,NA,23472,1192,120983,2020-04-30
NA,Calvert,161,9,NA,2020-04-30
NA,Frederick,942,56,NA,2020-04-30
NA,Montgomery,4754,262,NA,2020-04-30
NA,Prince Georges,6735,243,NA,2020-04-30
Virginia,NA,16901,581,105648,2020-04-30
NA,Arlington,1004,42,NA,2020-04-30
NA,Culpeper,162,3,NA,2020-04-30
NA,Fairfax,3897,137,NA,2020-04-30
NA,Loudoun,832,15,NA,2020-04-30
NA,Prince William,1781,28,NA,2020-04-30
District of Columbia,NA,4323,224,20079,2020-04-29
Maryland,NA,21742,1140,114359,2020-04-29
NA,Calvert,150,8,NA,2020-04-29
NA,Frederick,918,56,NA,2020-04-29
NA,Montgomery,4300,255,NA,2020-04-29
NA,Prince Georges,6043,240,NA,2020-04-29
Virginia,NA,15846,552,90843,2020-04-29
NA,Arlington,967,41,NA,2020-04-29
NA,Culpeper,141,3,NA,2020-04-29
NA,Fairfax,3611,134,NA,2020-04-29
NA,Loudoun,746,15,NA,2020-04-29
NA,Prince William,1645,24,NA,2020-04-29
District of Columbia,NA,4106,205,19229,2020-04-28
Maryland,NA,20849,1078,110929,2020-04-28
NA,Calvert,142,8,NA,2020-04-28
NA,Frederick,893,51,NA,2020-04-28
NA,Montgomery,4152,242,NA,2020-04-28
NA,Prince Georges,5738,224,NA,2020-04-28
Virginia,NA,14961,522,85307,2020-04-28
NA,Arlington,912,32,NA,2020-04-28
NA,Culpeper,129,3,NA,2020-04-28
NA,Fairfax,3448,124,NA,2020-04-28
NA,Loudoun,727,14,NA,2020-04-28
NA,Prince William,1527,22,NA,2020-04-28
District of Columbia,NA,3994,190,18885,2020-04-27
Maryland,NA,20113,1016,107785,2020-04-27
NA,Calvert,139,8,NA,2020-04-27
NA,Frederick,870,48,NA,2020-04-27
NA,Montgomery,4003,221,NA,2020-04-27
NA,Prince Georges,5496,206,NA,2020-04-27
Virginia,NA,14339,492,82753,2020-04-27
NA,Arlington,865,32,NA,2020-04-27
NA,Culpeper,126,2,NA,2020-04-27
NA,Fairfax,3278,114,NA,2020-04-27
NA,Loudoun,688,12,NA,2020-04-27
NA,Prince William,1449,20,NA,2020-04-27
District of Columbia,NA,3892,185,18416,2020-04-26
Maryland,NA,19487,945,104976,2020-04-26
NA,Calvert,138,7,NA,2020-04-26
NA,Frederick,865,48,NA,2020-04-26
NA,Montgomery,3843,210,NA,2020-04-26
NA,Prince Georges,5263,198,NA,2020-04-26
Virginia,NA,13535,458,80180,2020-04-26
NA,Arlington,836,32,NA,2020-04-26
NA,Culpeper,113,2,NA,2020-04-26
NA,Fairfax,3002,100,NA,2020-04-26
NA,Loudoun,628,12,NA,2020-04-26
NA,Prince William,1353,20,NA,2020-04-26
District of Columbia,NA,3841,178,18068,2020-04-25
Maryland,NA,18581,910,96665,2020-04-25
NA,Calvert,134,7,NA,2020-04-25
NA,Frederick,834,45,NA,2020-04-25
NA,Montgomery,3645,180,NA,2020-04-25
NA,Prince Georges,4987,174,NA,2020-04-25
Virginia,NA,12970,448,76118,2020-04-25
NA,Arlington,790,32,NA,2020-04-25
NA,Culpeper,103,1,NA,2020-04-25
NA,Fairfax,2889,95,NA,2020-04-25
NA,Loudoun,596,11,NA,2020-04-25
NA,Prince William,1265,19,NA,2020-04-25
District of Columbia,NA,3699,165,17302,2020-04-24
